scenario,LPI_final,CI_low,CI_high,time,LPI_final_true,CI_low_true,CI_high_true,overlap,residual_error_sd,residual_error_mean,dtbar,dtbar_variance,lpi_nocorrection,lpi_correction,lpi_variance,lpi_bias,CI_width_diff,CI_width_reldiff,percentile_LPIcorrected,percentile_LPInotcorrected,direction,N0,lambda,interaction,Observation_error,Process_error,Lag
scenario1I,1.5669806031099456,1.5408392293121158,1.596594858208833,7,1.5971311476327112,1.58678408773393,1.607844050318175,0.0522930985702722,0.014178218003080448,-0.002067004501903491,0.018678546213841307,0.002839693030237373,1.5997481151519974,1.6106425581516506,0.0030947707816205636,-0.010894442999653142,0.1623165741432261,0.10077752715630349,0.995,0.984,growth,1000,1.5,0,0.05,0.2,0
scenario1I,1.664933055691704,1.6355007046028056,1.6976724353632586,8,1.6958557572976543,1.6849177718434811,1.7076639781527496,0.12002987027938262,0.011130998579873165,0.003857855247894282,0.03702625340137522,0.0028396930300788954,1.7421191734666375,1.7555293845292252,0.0033676263755245965,-0.013410211062587774,0.1653107827144538,0.09416577368130165,1,1,growth,1000,1.5,0,0.05,0.2,0
scenario1I,1.7630057460399329,1.73029770173732,1.7996980081353557,9,1.7939266982257036,1.781599352389029,1.8066954420226025,0.2276953619878851,0.01076412462441008,-0.003283242746246762,0.014017663438277667,0.002839693030329305,1.7992666241030117,1.8145831581493475,0.003029051954208106,-0.015316534046335706,0.14634404219340114,0.08064884848961903,0.995,0.972,growth,1000,1.5,0,0.05,0.2,0
scenario1I,1.8708005320839785,1.833969247380868,1.9112655031683157,10,1.8950247439170413,1.880969126530505,1.908612300102246,0.011338259845588014,0.011038991052746808,-0.002780242182266712,0.028624402446804108,0.002839693030231112,1.9218519399115048,1.939728581993474,0.003239814914843205,-0.017876642081969152,0.14582768265808668,0.07517942665371176,0.999,0.99,growth,1000,1.5,0,0.05,0.2,0
scenario1I,1.9923420440678838,1.9526240649655486,2.035485479845669,11,2.002024480225039,1.9874284585942108,2.0171660206976227,0.09856248947125917,0.008161069236631902,-0.0014217032155584785,0.02924200068646893,0.002839693030242652,2.055710372093452,2.0763508756256064,0.0032490425343717553,-0.02064050353215441,0.14058004770050755,0.06770534274856153,1,0.995,growth,1000,1.5,0,0.05,0.2,0
scenario2A,1,1,1,1,1,1,1,NA,0.024049560106434182,0.005475397734291976,NA,NA,1,1,NA,0,NA,NA,NA,NA,decline,892,1.5,0.1,0.05,0,0
scenario2A,0.9336776323439936,0.9233200114828911,0.9423488511231505,2,0.9417211069228155,0.9417166492398759,0.9417255924875889,0.0295012790171798,0.025266408865266085,-0.019231138171865447,-0.040840865525284153,9.165801000885316e-4,0.9102467447543879,0.9106639017805941,7.594316503110806e-4,-4.171570262061497e-4,0.08899768724707599,0.09772835738087504,0,0,decline,892,1.5,0.1,0.05,0,0
scenario2A,0.8724805256631472,0.861927404678009,0.882833767760794,3,0.8875515437284593,0.8875456610206723,0.8875580576086708,0.14494557527700297,0.015943957288715407,0.014688807703117635,-0.017581479033078985,9.165800992810657e-4,0.8741332808703284,0.8749739951371448,8.452933757323538e-4,-8.407142668164225e-4,0.09306344050068018,0.106361378758569,0.677,0.608,decline,892,1.5,0.1,0.05,0,0
scenario2A,0.8158467458224187,0.8044079579292979,0.8267238831575492,4,0.8365513847306253,0.8365456425025286,0.8365572854839871,0.12936314970735313,0.032861604736836005,-0.013009490121750867,-0.03376996108300077,9.165801002329132e-4,0.808737710739597,0.8099395340776482,7.845678396593382e-4,-0.001201823338051189,0.08748381635314427,0.10801277462368848,0.144,0.103,decline,892,1.5,0.1,0.05,0,0
scenario2A,0.7626027993814245,0.750547403970277,0.7742224935912242,5,0.7867201936064894,0.7867147084342558,0.786725824593438,0.027202859217870176,0.02927788357227959,0.015107714307054387,-0.01895810915569809,9.165800996220521e-4,0.7741936149254589,0.7757828189008242,8.399514912774305e-4,-0.0015892039753653275,0.0899340235503363,0.11592680497585682,0.99,0.974,decline,892,1.5,0.1,0.05,0,0
scenario2A,0.7120203936386714,0.6997324347523979,0.7231031574153632,6,0.7365442681692534,0.736539221508234,0.7365495641708513,0.1539512665463357,0.028761529836046358,-0.008180202512446343,-0.037480469588471475,9.165801006469775e-4,0.7101811087384371,0.7120593101976922,7.712754096740627e-4,-0.0018782014592551022,0.08549491220504758,0.12006712219142426,0.49,0.368,decline,892,1.5,0.1,0.05,0,0
scenario2A,0.6639301226014014,0.6517425817327699,0.6752953560365587,7,0.6857424048341081,0.6857376630602459,0.6857473556169685,0.10711522250808876,0.028625473644614853,0.005610266738930336,-0.02784016271562261,9.165801005434973e-4,0.6660839253111265,0.6682753373565501,8.062878191247366e-4,-0.002191412045423613,0.08775643979728354,0.13131778907839922,0.762,0.633,decline,892,1.5,0.1,0.05,0,0
scenario2A,0.6178975574985953,0.6063938531802998,0.6294560791894434,8,0.6347033980851166,0.6346990233175118,0.6347080288369428,0.12959113547697354,0.03522292328067063,-0.0014248159424447016,-0.03231134442969406,9.16580100916318e-4,0.6183261422760453,0.6207858624597474,7.89855661757714e-4,-0.0024597201837021077,0.08710690778446371,0.1403171577382883,0.665,0.49,decline,892,1.5,0.1,0.05,0,0
